kingdom;phylum;klass;order;family;genus;species;subspecies;scientific_name;author
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Martes;foina;intermedia;Martes foina intermedia;Severtzov, 1873
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Martes;gwatkinsii;;Martes gwatkinsii;Horsfield, 1851
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Mellivora;capensis;;Mellivora capensis;(Schreber, 1776)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Mustela;altaica;;Mustela altaica;Pallas, 1811
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Mustela;erminea;ferghanae;Mustela erminea ferghanae;(Thomas, 1895)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Mustela;kathiah;;Mustela kathiah;Hodgson, 1835
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Mustela;nigripes;;Mustela nigripes;(Audubon & Bachman, 1851)
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Mustela;sibirica;;Mustela sibirica;Pallas, 1773
Animalia;Chordata;Mammalia;Carnivora;Odobenidae;Odobenus;rosmarus;;Odobenus rosmarus;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;australis;;Arctocephalus australis;(Zimmermann, 1783)
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;forsteri;;Arctocephalus forsteri;(Lesson, 1828)
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;galapagoensis;;Arctocephalus galapagoensis;Heller, 1904
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;gazella;;Arctocephalus gazella;(Peters, 1875)
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;philippii;;Arctocephalus philippii;(Peters, 1866)
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;pusillus;;Arctocephalus pusillus;(Schreber, 1775)
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;townsendi;;Arctocephalus townsendi;Merriam, 1897
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;tropicalis;;Arctocephalus tropicalis;(J. E. Gray, 1872)
